id;box_limit;shipment_type;opfac;delivery_agent;estimated_ready_date;currency_uom;estimated_ship_date;status;reference_number
1;15899;whereas;focused;from wasteful;2025-03-26T01:50:27;eventually yippee;2025-03-26T05:08:36;towards wildly;a
2;15564;furthermore timely depot;even natural;yahoo;2025-03-25T17:23:41;border;2025-03-25T20:24:13;aside;muscat eke
3;9866;across;brr;nasalise ah;2025-03-25T08:48:41;industrialize;2025-03-25T08:45:48;oddly;manage oh disposer
4;31753;and on tightly;catalog;accomplished sauerkraut rim;2025-03-25T19:11:45;venture;2025-03-25T10:14:54;blah upbeat;outlandish rigid
5;14903;warmhearted glisten brr;cleverly;recount insistent helplessly;2025-03-25T09:08:40;during wheel;2025-03-25T21:22:38;illiterate testing;jealous in inasmuch
6;20364;duh shadowy;appropriate blah;absent;2025-03-25T23:04:36;gym furthermore;2025-03-25T17:59:37;shakily inwardly;likely phew when
7;5335;consequently;confused;major parched;2025-03-25T10:10:58;mooch allegation obscure;2025-03-26T01:21:08;offset;if without but
8;14189;an outlying neatly;divert;abnegate;2025-03-25T19:48:20;editor viciously;2025-03-25T17:10:18;finally dereference;ravage lecture
9;16101;than among despite;agreeable gee pish;as why upright;2025-03-25T13:36:35;fess fun eventually;2025-03-26T00:09:50;worse amount;fairly inside
10;26181;stump um;upside-down;next;2025-03-25T20:38:27;readily where;2025-03-25T19:36:44;oh than hmph;towards
